table_name,column_name
studies,nct_id
studies,last_update_posted_date
studies,start_date
studies,completion_date
studies,primary_completion_date
studies,official_title
studies,overall_status
studies,phase
studies,enrollment
studies,number_of_arms
browse_interventions,nct_id
browse_interventions,mesh_term
conditions,nct_id
conditions,name
countries,nct_id
countries,name
design_outcomes,nct_id
design_outcomes,outcome_type
design_outcomes,measure
design_outcomes,time_frame
designs,nct_id
designs,allocation
designs,masking_description
eligibilities,nct_id
eligibilities,sampling_method
eligibilities,healthy_volunteers
facilities,nct_id
facilities,name
facilities,country
interventions,nct_id
interventions,intervention_type
outcomes,nct_id
outcomes,outcome_type
outcomes,title
outcomes,time_frame
sponsors,nct_id
sponsors,name
