table_name,column_name
studies,nct_id
studies,start_date
studies,completion_date
studies,primary_completion_date
studies,enrollment
studies,why_stopped
countries,nct_id
countries,name
facilities,nct_id
facilities,name
facilities,city
facilities,state
facilities,zip
facility_contacts,nct_id
facility_contacts,contact_type
facility_contacts,email
facility_contacts,phone
facility_contacts,phone_extension
facility_investigators,nct_id
facility_investigators,role
facility_investigators,name
outcomes,nct_id
outcomes,outcome_type
outcomes,title
outcomes,time_frame
