nct_id,name,city,state,zip
NCT03987919,Cahaba Research,Birmingham,Alabama,35242
NCT03987919,Syed Research Consultants Llc,Sheffield,Alabama,35660
NCT03987919,National Research Institute - Huntington Park,Huntington Park,California,90255
NCT03987919,"Catalina Research Institute, LLC",Montclair,California,91763
NCT03987919,"Valley Clinical Trials, Inc.",Northridge,California,91325
NCT03987919,National Research Institute - Huntington Park,Panorama City,California,91402
NCT03987919,Artemis Institute for Clinical Research,Riverside,California,92503
NCT03987919,Artemis Institute for Clinical Research,San Diego,California,92103
NCT03987919,Artemis Institute for Clinical Research,San Marcos,California,92078
NCT03987919,"University Clinical Investigators, Inc.",Tustin,California,92780
NCT03987919,CMR of Greater New Haven,Hamden,Connecticut,06517
NCT03987919,Clinical Research of South Florida,Coral Gables,Florida,33134
NCT03987919,East Coast Institute for Research at The Jones Center,Lake City,Florida,32055
NCT03987919,South Florida Clinical Research Institute,Margate,Florida,33063
NCT03987919,Suncoast Research Group,Miami,Florida,33135
NCT03987919,New Horizon Research Center,Miami,Florida,33165 3338
NCT03987919,Oviedo Medical Research,Oviedo,Florida,32765
NCT03987919,South Broward Research,Pembroke Pines,Florida,33027
NCT03987919,United Osteoporosis Center,Gainesville,Georgia,30501
NCT03987919,Sky Clinical Research Network,Union City,Georgia,30291
NCT03987919,Elite Clinical Trials,Blackfoot,Idaho,83221
NCT03987919,University of Iowa Hospital & Clinic,Iowa City,Iowa,52242
NCT03987919,Cotton O'Neil Clinic,Topeka,Kansas,66606
NCT03987919,Cotton O'Neil Diabetes and Endocrinology Center,Topeka,Kansas,66606
NCT03987919,NECCR PrimaCare Research,Fall River,Massachusetts,02721
NCT03987919,ActivMed Practices and Research,Methuen,Massachusetts,01844
NCT03987919,Olive Branch Family Medical Center,Olive Branch,Mississippi,38654
NCT03987919,Clinvest Research LLC,Springfield,Missouri,65810
NCT03987919,Premier Research,Trenton,New Jersey,08611
NCT03987919,"Albany Medical College, Division of Community Endocrinology",Albany,New York,12206
NCT03987919,PharmQuest,Greensboro,North Carolina,27408
NCT03987919,"Diabetes & Endocrinology Consultants, PC",Morehead City,North Carolina,28557
NCT03987919,PMG Research of Wilmington,Wilmington,North Carolina,28401
NCT03987919,Lillestol Research LLC,Fargo,North Dakota,58104
NCT03987919,Aventiv Research Inc,Columbus,Ohio,43213
NCT03987919,"Intend Research, LLC",Norman,Oklahoma,73069
NCT03987919,"Heritage Valley Medical Group, Inc.",Beaver,Pennsylvania,15009
NCT03987919,"Capital Area Research, LLC",Camp Hill,Pennsylvania,17011
NCT03987919,Detweiler Family Medicine & Associates,Lansdale,Pennsylvania,19446
NCT03987919,Green & Seidner Family Practice Associates,Lansdale,Pennsylvania,19446
NCT03987919,Thomas Jefferson University,Philadelphia,Pennsylvania,19107
NCT03987919,"Preferred Primary Care Physicians, Preferred Clinical Research-St. Clair",Pittsburgh,Pennsylvania,15243
