nct_id,outcome_type,title,time_frame
NCT01064687,Primary,Change From Baseline to 26 Weeks Endpoint in Glycosylated Hemoglobin (HbA1c),"Baseline, 26 weeks"
NCT01064687,Secondary,Change From Baseline to 52 Weeks Endpoint in Glycosylated Hemoglobin (HbA1c),"Baseline, 52 weeks"
NCT01064687,Secondary,Change From Baseline to 26 Weeks for Body Weight,"Baseline, 26 weeks"
NCT01064687,Secondary,Change From Baseline to 52 Weeks for Body Weight,"Baseline, 52 weeks"
NCT01064687,Secondary,Change From Baseline to 26 Weeks on Body Mass Index (BMI),"Baseline, 26 weeks"
NCT01064687,Secondary,Change From Baseline to 52 Weeks on Body Mass Index (BMI),"Baseline, 52 weeks"
NCT01064687,Secondary,Change From Baseline to 26 Weeks for Daily Mean Blood Glucose Values From the 8-point Self-monitored Plasma Glucose (SMPG) Profiles,"Baseline, 26 weeks"
NCT01064687,Secondary,Change From Baseline to 52 Weeks for Daily Mean Blood Glucose Values From the 8-point Self-monitored Plasma Glucose (SMPG) Profiles,"Baseline, 52 weeks"
NCT01064687,Secondary,Percentage of Participants Attaining Glycosylated Hemoglobin (HbA1c) Less Than 7% and Less Than or Equal to 6.5% at 26 Weeks,"Baseline, 26 weeks"
NCT01064687,Secondary,Percentage of Participants Attaining Glycosylated Hemoglobin (HbA1c) Less Than 7% and Less Than or Equal to 6.5% at 52 Weeks,"Baseline, 52 weeks"
NCT01064687,Secondary,Change From Baseline to 26 Weeks in Updated Homeostasis Model Assessment of Beta-cell Function (HOMA2-%B) and Updated Homeostasis Model Assessment of Insulin Sensitivity (HOMA2-%S),"Baseline, 26 weeks"
NCT01064687,Secondary,Change From Baseline to 52 Weeks in Updated Homeostasis Model Assessment of Beta-cell Function (HOMA2-%B) and Updated Homeostasis Model Assessment of Insulin Sensitivity (HOMA2-%S),"Baseline, 52 weeks"
NCT01064687,Secondary,Change From Baseline to 26 Weeks in the EuroQol 5,"Baseline, 26 weeks"
NCT01064687,Secondary,Change From Baseline to 52 Weeks in the EuroQol 5,"Baseline, 52 weeks"
NCT01064687,Secondary,Change From Baseline to 26 Weeks in the Diabetes Treatment Satisfaction Questionnaire Status (DTSQs) Version,"Baseline, 26 weeks"
